source_id,source_name,group_type,market_scope,source_role,url,available_data,quality_score_1_5,coverage_score_1_5,stability_score_1_5,maintenance_risk_1_5,mvp_priority_1_5,recommended_use,last_checked
SRC001,easyFarm platform,discovery,niche/community,platform_family,https://www.easyfarm.co.il/,"Platform-level discovery of farm stores, baskets, delivery flows, and recurring ordering models",4,5,4,2,5,"Primary family for discovery and repeated source patterning",2026-03-29
SRC002,סבתא יהודית,direct_price,niche/community,price_list_and_baskets,https://sapta.easyfarm.co.il/manage/product/price_list/,"Public price list, per-kg and per-unit prices, baskets, supplier names, organic supervision mention",5,4,4,2,5,"Core direct source",2026-03-29
SRC003,ח'ביזה,basket_csa,niche/community,csa_subscription,https://chubeza.easyfarm.co.il/manage/customer/ano_custom_reg/HE/,"Basket prices, frequencies, delivery points, seasonal basket composition",4,3,4,2,5,"Core basket and CSA source",2026-03-29
SRC004,קיימא בית זית,direct_price,niche/community,shop_and_baskets,https://kaima.easyfarm.co.il/shop/home/,"Per-kg and per-unit produce pricing, baskets, delivery windows, self-composed orders",5,4,4,2,5,"Core direct source",2026-03-29
SRC005,קיימא חוקוק,direct_price,niche/community,shop_and_farm_store,https://kaima-hukuk.easyfarm.co.il/shop/,"Product pricing, local pickup, store hours, IQC organic supervision metadata",5,3,4,2,5,"Core direct source with strong organic metadata",2026-03-29
SRC006,עץ השדה,direct_price,niche/community,shop,https://etzhasade.easyfarm.co.il/shop/,"Catalog pricing, ordering windows, organic note, weight variance note",4,3,4,2,4,"Secondary easyFarm source",2026-03-29
SRC007,סלסילה,basket_csa,niche/community,basket_source,https://www.salsila.co.il/,"Basket composition updated before delivery; useful for recurring basket tracking",3,2,3,3,4,"Basket layer source",2026-03-29
SRC008,שדה ירוק,direct_price,niche/community,online_organic_store,https://www.sadeyarok.co.il/,"Per-package and per-kg prices, promotions, own-farm produce",5,4,4,3,5,"Core niche source",2026-03-29
SRC009,משק זינגר,direct_price,niche/community,online_organic_store,https://www.zinger-organic.com/cat/%D7%99%D7%A8%D7%A7%D7%95%D7%AA,"Vegetable category with product count, per-unit prices, producers, shop metadata",5,4,4,3,5,"Core niche source",2026-03-29
SRC010,Farmerim,aggregator,niche/community,organic_marketplace,https://farmerim.com/organic,"Organic product prices, package/kg forms, sometimes grower/farm names",4,5,4,3,5,"Broad aggregation source",2026-03-29
SRC011,האורגני,aggregator,niche/community,organic_farm_network,https://haorgani.co.il/,"Organic shop pricing plus farmer network metadata and grower directory",4,5,4,3,5,"Broad aggregation source plus farmer discovery",2026-03-29
SRC012,בידיים - מעגל העסקים,discovery,niche/community,business_directory,https://www.bayadaim.org.il/%D7%94%D7%91%D7%9C%D7%95%D7%92/%D7%9E%D7%A2%D7%92%D7%9C-%D7%94%D7%A2%D7%A1%D7%A7%D7%99%D7%9D-%D7%A2%D7%9C-%D7%9E%D7%94-%D7%95%D7%9C%D7%9E%D7%94/,"Directory of sustainability businesses and initiatives with outbound links",2,4,4,1,4,"Discovery only",2026-03-29
SRC013,פרמקלצ'ר ישראל,discovery,niche/community,community_map,https://www.permaculture.org.il/,"Life-network map, projects, communities, teachers, and farm-adjacent initiatives",2,4,4,1,4,"Discovery and community validation",2026-03-29
SRC014,תנועת החוות הירוקות,discovery_meta,niche/community,org_registry,https://next.obudget.org/i/org/association/580652170,"Organization registration only; no usable public source index found yet",1,1,3,1,2,"Watchlist only",2026-03-29
SRC015,מחירי תוצרת הארץ - משרד החקלאות,benchmark,benchmark,official_wholesale,https://prices.moag.gov.il,"Official wholesale fruit and vegetable prices",5,5,4,2,5,"Separate benchmark layer",2026-03-29
SRC016,דוחות שבועיים - משרד החקלאות,benchmark,benchmark,weekly_validation,https://www.gov.il/he/departments/dynamiccollectors/weekly-prices?skip=0&year=9,"Weekly official validation and summary reports",4,4,5,1,4,"Validation layer",2026-03-29
SRC017,Pricez,benchmark,benchmark,retail_comparison,https://www.pricez.co.il/,"Retail chain comparison; site states prices are supplied by the chains themselves",4,5,4,3,5,"Retail benchmark layer",2026-03-29
SRC018,CHP,benchmark,benchmark,retail_comparison,https://chp.co.il/,"Retail comparison by location and store, including produce pages",4,5,4,3,5,"Retail benchmark layer",2026-03-29
SRC019,סקאל ישראל,verification,verification,organic_certification_meta,https://www.secal.co.il/,"Organic and agricultural standards oversight information",3,3,4,1,4,"Organic verification metadata",2026-03-29
SRC020,IQC,verification,verification,organic_certification_meta,https://www.iqc.co.il/,"Organic certification and agricultural assurance information",3,3,4,1,4,"Organic verification metadata",2026-03-29
